,City,Cloudiness,Country,Date,Humidity,Lat,Lng,Max Temp,Wind Speed
376,Yumen,0,CN,1569333078,17,40.29,97.04,67.37,9.86
377,Ambanja,10,MG,1569332999,76,-13.68,48.45,79.79,10.78
378,Rafai,77,CF,1569333080,55,4.95,23.92,88.43,1.66
379,Bagdarin,20,RU,1569333082,74,54.44,113.59,43.79,2.77
380,Clinton,20,US,1569333083,73,41.28,-72.53,72.0,6.46
381,Multan,0,PK,1569333084,46,30.2,71.47,93.2,4.7
382,Waltrop,0,DE,1569333085,55,51.62,7.4,70.0,11.41
383,Iisalmi,40,FI,1569333026,45,63.56,27.19,44.6,9.17
384,Zhanaozen,0,KZ,1569333087,37,43.35,52.85,66.47,7.2
385,Bull Savanna,24,JM,1569332532,73,17.89,-77.59,83.57,2.89
386,Colac,62,AU,1569333090,96,-38.34,143.59,46.0,1.61
387,Sola,88,TZ,1569333091,20,-3.17,33.8,89.15,6.69
388,Broken Hill,71,AU,1569333092,37,-31.97,141.45,55.4,8.05
389,Cerritos,40,US,1569332962,88,33.86,-118.05,64.99,4.0
390,Grand-Santi,53,GF,1569333094,41,4.27,-54.38,94.37,3.06
391,Vidin,100,RO,1569333096,64,44.0,22.88,65.39,3.69
392,Toppenish,1,US,1569333097,100,46.38,-120.31,48.99,2.35
393,San Andres,22,PH,1569332329,87,13.32,122.68,76.91,3.83
394,La Orilla,6,MX,1569333099,78,18.0,-102.23,81.59,3.31
395,Mayo,90,CA,1569333100,100,63.59,-135.9,26.6,0.47
396,Marica,75,BR,1569333101,57,-22.92,-42.82,75.2,8.05
397,Torbay,90,CA,1569333103,93,47.66,-52.73,57.0,9.17
398,Havoysund,75,NO,1569333104,75,71.0,24.66,42.8,13.87
399,Saskylakh,100,RU,1569333105,92,71.97,114.09,35.87,11.07
400,Longyearbyen,75,NO,1569333106,93,78.22,15.63,39.2,3.36
401,Eureka,1,US,1569333108,93,40.8,-124.16,53.01,23.69
402,Heide,40,DE,1569333110,55,54.19,9.09,70.0,3.36
403,Peterhead,20,AU,1569332976,87,-34.83,138.5,48.99,4.7
404,Pipri,94,IN,1569333112,85,24.21,83.02,77.81,8.68
405,Camargo,100,MX,1569333114,65,27.69,-105.17,72.59,4.38
406,Santo Domingo,20,DO,1569332959,79,18.48,-69.94,86.0,7.02
407,Henties Bay,9,NA,1569333116,83,-22.12,14.28,63.0,5.01
408,Kirakira,100,SB,1569332534,93,-10.46,161.92,76.19,9.42
409,Nelson Bay,0,AU,1569333119,93,-32.72,152.14,57.0,7.16
410,Turayf,0,SA,1569333120,18,31.68,38.65,93.2,4.7
411,Saint-Augustin,75,CA,1569333121,72,45.63,-73.98,62.01,13.87
412,Marzuq,90,YE,1569333122,20,14.4,46.47,83.57,10.89
413,Hidalgo,40,US,1569333123,88,26.1,-98.26,82.99,4.7
414,Skjervoy,75,NO,1569333058,70,70.03,20.97,44.6,5.82
415,Eskil,0,TR,1569333126,20,38.4,33.41,78.17,5.01
416,Markala,77,ML,1569333127,29,13.69,-6.07,98.15,6.04
417,Exeter,40,GB,1569332915,64,50.73,-3.53,68.0,14.99
418,Lucera,0,IT,1569333129,50,41.51,15.34,77.0,16.11
419,Novoagansk,100,RU,1569333130,91,61.94,76.66,37.31,17.9
420,Dholka,40,IN,1569333125,74,22.73,72.44,87.8,2.91
421,Dali,100,CN,1569333133,44,34.79,109.94,69.53,3.06
422,Saldanha,50,PT,1569333134,47,41.42,-6.55,73.13,14.29
423,Wahpeton,100,US,1569333135,87,46.27,-96.61,59.0,4.7
424,Camp Verde,1,US,1569333136,71,34.56,-111.85,57.0,11.41
425,Praia,0,BR,1569333137,49,-20.25,-43.81,71.6,10.29
426,Bagnols-sur-Ceze,90,FR,1569333139,53,44.16,4.62,80.01,3.36
427,Pitea,40,SE,1569333140,65,65.32,21.48,48.99,5.82
428,Sampit,24,ID,1569333141,86,-2.54,112.95,76.91,3.53
429,Belyy Yar,0,RU,1569333142,93,53.6,91.39,50.0,2.24
430,Seddon,40,AU,1569333143,87,-37.81,144.89,52.0,6.93
431,Grenfell,0,AU,1569333144,90,-33.9,148.16,38.57,3.49
432,Port Lincoln,8,AU,1569333146,70,-34.72,135.86,55.31,10.42
433,Havelian,20,PK,1569333147,83,34.05,73.15,82.99,6.93
434,Narok,100,KE,1569333148,79,-1.09,35.87,64.13,4.97
435,Batabano,20,CU,1569333149,94,22.72,-82.29,78.8,8.05
436,Itacarambi,35,BR,1569333151,33,-15.1,-44.09,83.93,8.95
437,Rocafuerte,90,EC,1569333152,88,-0.92,-80.45,71.6,5.82
438,Fort Nelson,75,CA,1569333153,86,58.81,-122.69,37.4,3.36
439,Kaura Namoda,49,NG,1569333155,27,12.59,6.58,95.63,3.53
440,Nizhniy Kuranakh,47,RU,1569333157,93,58.84,125.49,28.49,2.08
441,Muroto,5,JP,1569333158,90,33.37,134.14,63.95,5.08
442,Jiayuguan,0,CN,1569333159,20,39.77,98.29,63.95,10.56
443,Sakaraha,86,MG,1569333160,37,-22.91,44.53,82.13,14.56
444,Teahupoo,0,PF,1569333162,78,-17.83,-149.27,75.2,3.36
445,Grootfontein,24,NA,1569333163,6,-19.56,18.1,88.25,10.11
446,Kupang,20,ID,1569333164,69,-10.16,123.6,78.8,12.75
447,Santa Maria,0,BR,1569333165,57,-16.02,-48.01,77.0,16.11
448,Harlingen,90,NL,1569333166,77,53.18,5.41,66.0,10.29
449,Krasnovishersk,83,RU,1569333168,82,60.4,57.08,31.91,4.72
450,Aksu,0,KZ,1569332888,37,52.04,76.93,53.6,8.95
451,Tupik,92,RU,1569333170,81,54.43,119.94,36.59,2.04
452,High Rock,40,BS,1569333171,74,26.63,-78.28,80.6,8.05
453,Kirkuk,0,IQ,1569333172,14,35.47,44.4,85.73,9.26
454,Omboue,38,GA,1569333173,85,-1.57,9.26,78.53,14.09
455,Padang,32,ID,1569333174,82,-0.92,100.36,79.79,6.06
456,Suntar,100,RU,1569333175,85,62.16,117.65,38.57,4.34
457,Khetri,68,IN,1569333177,60,28.0,75.78,83.21,8.57
458,Karacabey,75,TR,1569333178,60,40.21,28.36,78.01,11.41
459,Siocon,5,PH,1569333179,86,11.03,124.04,79.79,4.65
460,Dharchula,47,IN,1569333180,94,29.85,80.53,49.55,0.74
461,Bathsheba,40,BB,1569333181,70,13.22,-59.52,86.0,16.11
462,Paratinga,43,BR,1569333182,23,-12.69,-43.18,92.93,7.47
463,Eidsvag,0,NO,1569333184,71,62.78,8.07,57.2,11.41
464,Usinsk,100,RU,1569333185,97,66.0,57.56,36.23,19.6
465,Aldan,47,RU,1569333186,93,58.61,125.39,28.49,2.08
466,Cuamba,73,MZ,1569333187,17,-14.8,36.54,90.23,7.87
467,Maniwaki,67,CA,1569333188,66,46.38,-75.98,57.29,8.01
468,Evanton,40,GB,1569333190,82,57.66,-4.34,70.0,8.05
469,Abu Samrah,0,SY,1569333191,27,35.3,37.18,83.75,8.14
470,Zhongshu,100,CN,1569333192,87,24.52,103.77,51.71,3.44
471,Harper,90,US,1569333193,88,30.3,-99.24,75.99,14.38
472,Mushie,87,CD,1569333195,53,-3.02,16.92,88.61,4.38
473,Vallenar,0,CL,1569333196,34,-28.58,-70.76,69.17,8.93
474,Gat,21,SN,1569333197,66,14.69,-16.54,86.0,3.36
475,Mecca,31,SA,1569332910,47,21.43,39.83,91.13,4.5
476,Bereda,40,ES,1569333199,68,43.27,-7.54,71.01,11.41
477,Massaguet,29,TD,1569333201,37,12.48,15.44,98.6,4.7
478,Geraldton,40,CA,1569333202,100,49.72,-86.95,48.2,3.36
479,Fredericton,90,CA,1569333167,100,45.97,-66.65,53.6,11.41
480,Lavrentiya,0,RU,1569333204,83,65.58,-170.99,27.41,6.29
481,Lodja,86,CD,1569333205,42,-3.52,23.6,91.85,0.87
482,Tingi,0,TZ,1569333206,45,-11.3,35.03,77.81,6.67
483,Yabelo,74,ET,1569333208,39,4.89,38.09,78.17,6.89
484,Aswan,0,EG,1569333209,12,24.09,32.9,105.8,10.29
485,Grand-Bourg,20,GP,1569333210,74,15.88,-61.31,87.8,18.34
486,Prado,61,CO,1569333211,54,3.75,-74.93,84.47,3.89
487,Gladstone,77,AU,1569333213,73,-23.84,151.26,69.8,8.05
488,Manhattan,90,US,1569332939,88,39.18,-96.57,69.01,5.82
489,Chino Valley,1,US,1569332950,71,34.76,-112.45,60.01,11.41
490,Soluno-Dmitriyevskoye,100,RU,1569333216,42,44.4,42.73,68.0,6.71
491,Hebi,99,CN,1569333217,31,35.75,114.29,70.43,3.06
492,Southampton,40,GB,1569332948,72,50.9,-1.4,69.01,18.34
493,Gamba,98,CN,1569333219,55,28.28,88.52,43.07,2.37
494,Hofn,100,IS,1569333221,99,64.25,-15.21,41.63,4.14
495,Catia La Mar,20,VE,1569333222,78,10.6,-67.03,80.6,9.17
496,Saint-Louis,0,SN,1569333223,66,16.03,-16.5,89.6,13.87
497,Pirenopolis,0,BR,1569333224,41,-15.85,-48.96,77.0,13.87
498,La Ronge,20,CA,1569333226,70,55.1,-105.3,46.4,11.41
499,Maningrida,0,AU,1569333227,84,-12.05,134.23,74.39,4.83
500,Lata,36,IN,1569333228,93,30.78,78.62,37.31,1.39
501,Mayumba,34,GA,1569333229,89,-3.44,10.65,77.09,15.28
502,Sur,47,OM,1569333230,78,22.57,59.53,80.51,7.29
503,Karratha,10,AU,1569333231,73,-20.74,116.85,64.31,5.84
504,Leningradskiy,100,RU,1569333232,96,69.38,178.42,34.25,13.33
505,Mandalgovi,0,MN,1569333234,24,45.76,106.27,61.07,9.31
506,Alpena,1,US,1569333235,87,45.06,-83.43,63.0,3.36
507,Ambovombe,0,MG,1569333236,81,-25.18,46.09,72.23,7.7
508,Tarakan,0,ID,1569333237,75,3.3,117.63,81.77,6.91
509,Gander,75,CA,1569333238,87,48.95,-54.61,48.2,5.82
510,Dakar,16,SN,1569333239,66,14.69,-17.45,86.0,3.36
511,Chkalovsk,40,RU,1569333241,75,56.76,43.24,42.8,6.71
512,Springdale,90,US,1569333168,100,36.19,-94.13,69.01,3.36
513,Takoradi,100,GH,1569333243,81,4.89,-1.75,81.23,8.03
514,Santa Cecilia,0,CR,1569333244,78,9.85,-84.31,73.0,1.12
515,Cap Malheureux,75,MU,1569333246,64,-19.98,57.61,75.2,11.41
516,Clyde River,1,CA,1569333247,57,70.47,-68.59,32.0,4.7
517,Matara,48,BI,1569333248,44,-3.48,29.48,66.83,4.74
518,Progreso,0,UY,1569333249,67,-34.68,-56.22,66.99,6.93
519,Pandan,0,PH,1569333251,77,11.72,122.09,82.49,6.64
520,Vangaindrano,0,MG,1569333252,90,-23.35,47.6,70.25,4.85
521,Uthal,0,PK,1569333253,60,25.81,66.62,88.43,9.86
522,Singaraja,0,ID,1569333254,72,-8.11,115.08,80.33,0.63
523,Mogadishu,20,SO,1569333255,65,2.04,45.34,82.4,18.34
524,Athabasca,25,CA,1569333219,85,54.72,-113.29,43.79,10.85
525,Nagua,20,DO,1569333257,88,19.37,-69.85,80.6,5.82
526,Casas Grandes,1,MX,1569333259,82,30.15,-110.24,71.15,4.27
527,Potosi,30,BO,1569333260,45,-19.59,-65.75,54.05,7.99
528,Argalasti,75,GR,1569333261,88,39.23,23.22,73.4,4.7
529,Chapais,90,CA,1569333262,76,49.78,-74.86,50.0,4.7
530,Narayanpet,100,IN,1569333263,77,16.73,77.5,81.05,1.14
531,Canyon Lake,1,US,1569333265,58,33.68,-117.26,66.0,5.82
532,Mwinilunga,7,ZM,1569333266,11,-11.73,24.43,92.75,7.7
533,Tall Kayf,0,TR,1569333267,14,37.08,41.07,88.0,5.82
534,Hare Bay,75,CA,1569333268,87,48.86,-53.99,48.2,5.82
535,Kushima,32,JP,1569333270,88,31.5,131.29,64.0,5.01
536,Port Macquarie,0,AU,1569333271,87,-31.43,152.91,59.0,2.21
537,Cedar City,1,US,1569333272,35,37.68,-113.06,42.8,3.36
538,West Wendover,1,US,1569333273,51,40.74,-114.07,60.8,13.87
539,Westport,1,US,1569333244,64,41.14,-73.36,73.0,11.41
540,Talara,0,PE,1569333064,290,-4.58,-81.27,62.6,23.04
541,Tynset,75,NO,1569333276,93,62.28,10.78,44.6,4.7
542,Kungurtug,33,RU,1569333278,55,50.6,97.53,49.73,5.1
543,Salalah,20,OM,1569333279,79,17.01,54.1,84.2,12.75
544,Rawson,0,AR,1569333280,39,-43.3,-65.11,62.6,17.22
545,Dickinson,1,US,1569333281,71,46.88,-102.79,55.99,10.29
546,Samarai,96,PG,1569333282,94,-10.62,150.67,72.59,4.56
547,Kizhinga,0,RU,1569333284,82,51.85,109.91,50.45,3.6
548,Diego de Almagro,8,CL,1569333285,49,-26.39,-70.05,65.75,10.07
549,Flic en Flac,75,MU,1569333286,64,-20.27,57.36,75.2,11.41
550,Tyup,67,KG,1569333287,79,42.73,78.36,42.53,4.38
551,Nortelandia,44,BR,1569333288,26,-14.45,-56.8,101.57,3.87
552,Port Hardy,90,CA,1569333289,100,50.7,-127.42,50.0,2.24
553,Burgersdorp,0,ZA,1569333291,35,-30.99,26.32,60.35,23.89
554,Vostok,0,RU,1569333292,88,46.45,135.83,37.49,5.44
555,Teseney,1,ER,1569333293,32,15.11,36.66,95.45,0.38
556,Americus,1,US,1569333294,51,32.07,-84.23,82.4,5.35
557,Muravlenko,100,RU,1569333295,96,63.79,74.5,35.33,24.52
558,Sangar,21,RU,1569333296,95,63.92,127.47,31.73,5.21
559,Yinchuan,10,CN,1569333298,21,38.48,106.21,65.21,3.0
560,Yamada,75,JP,1569333299,88,36.58,137.08,66.99,2.24
561,Impfondo,86,CD,1569333300,45,1.62,18.06,92.57,0.89
562,Povenets,99,RU,1569333301,72,62.85,34.83,38.39,4.25
563,Sao Joao da Barra,90,BR,1569333302,60,-21.64,-41.05,71.6,16.11
564,Kropotkin,45,RU,1569333303,55,45.43,40.58,63.0,9.37
